;0
231; Knowledge of SQL and databases  Knowledge of more than one financial asset class  Awareness around Derivatives Regulatory Reforms At Goldman Sachs, we commit our people, capital and ideas to help our clients, shareholders and the communities we serve to grow. Founded in 1869, we are a leading global investment banking, securities and investment management firm. Headquartered in New York, we maintain offices around the world.We believe who you are makes you better at what you do. We're committed to fostering and advancing diversity and inclusion in our own workplace and beyond by ensuring every individual within our firm has a number of opportunities to grow professionally and personally, from our training and development opportunities and firmwide networks to benefits, wellness and personal finance offerings and mindfulness programs. Learn more about our culture, benefits, and people at  GS.com/careers .We’re committed to finding reasonable accommodations for candidates with special needs or disabilities during our recruiting process. Learn more:  https:// www.goldmansachs.com/careers/footer/disability-statement.html © The Goldman Sachs Group, Inc., 2021. All rights reserved.Goldman Sachs is an equal employment/affirmative action employer Female/Minority/Disability/Veteran/Sexual Orientation/Gender Identity          
232;Substantial experience in technical pre-sales or technical consulting experience.Bachelor's or Master's Degree in Computer Science, Information Technology, or related field Additional or Preferred Qualification.Proven experience with cloud and hybrid, or on premises infrastructures, architecture designs, migrations, industry standards, and/or technology management.Certification in relevant technologies or disciplines (e.g., Office 365, Power BI, Azure Architect and Development exams, Cloud Platform Technologies, Information Security, Architecture). Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances.Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.          
233;" Proven ability to take raw data and transform it in ways to best capture its value and insights;Experience building and optimising ‘big data’ data pipelines, architectures and data sets;Strong experience writing SQL queries for analysing data and transforming it according to business requirements;Experience with big data tools: Spark, Kafka, etc.Experience with relational SQL and NoSQL databases, including Postgres and MongoDB;Experience with cloud services such as Redshift and BigQuery;Experience with building and managing data warehouses and data lakes;Experience with data pipeline and workflow management tools: dbt, Luigi, Airflow, etc;Experience with both batch and real time data processing;Demonstrated experience using Python, GIT, SQL, Visualisation Tools, Data Notebooks (e.g. jupyter) and Linux;Google cloud experience is desirable but not essential.Why Work For VHS?A supportive friendly environment of dedicated and passionate co-workersRemote First - Flexible work from home arrangementExposure to the new aged world of Blockchain and NFT’sUnlimited leaveMaternity/Paternity Leave$1000 USD Remote work allowanceBrand new work laptopEmployee referral program ($4000 USD for each employee who is successfully referred to the company) To be considered for this position please provide a copy of your resume and cover letter and/or digital video resume outlining and addressing the selection criteria.VHS values transparency, accountability, support, simplicity, and courage. We look forward to working with someone who embraces these traits and our start-up culture. Join VHS today and take the next step in your career.Find out more about us and what we value - About Virtually HumanVHS is committed too employing a diverse workforce. Qualified applicants will receive consideration without regard to race, colour, religion, sex, national origin, age, sexual orientation, gender identity, gender expression, veteran status, or disability          "
234;Bachelor's degree in Statistics, Computer Science, Actuarial Science or any related degree1 to 3 years of experience in insurance or re-insurance operations OR data management/operations experienceInsurance operations candidates with knowledge in Excel (SQL, VBA, Python is a plus)Data candidates should have knowledge in SQL, Excel, VBA and/or Python (self taught is considered)Fresh graduates with relevant internship experience are welcome to applyCandidate should be logical, have strong analytic skills and be willing to learnExcellent communication skills in both Cantonese and EnglishWhat's On Offer16 days annual leaveGuaranteed bonusMedical insuranceDental insuranceVery stable and friendly teamTraining and internal growth opportunitiesMNC and western working environmentContact: Jacqueline LungQuote job ref: 4203622  
235; more options             烘焙中工師傅            Gourmet House Limited                    Hong Kong, Hong Kong SAR          On-site            3 weeks ago           Entry levelSee recent hiring trends for Gourmet House Limited. Try Premium for free     Apply         Save            Save 烘焙中工師傅 at Gourmet House Limited                     烘焙中工師傅            Gourmet House LimitedHong Kong, Hong Kong SAROn-site     Apply         Save            Save 烘焙中工師傅 at Gourmet House Limited                  Show more options                    This job is sourced from a job board.      Learn more 負責日常烘焙工作，按板，出爐及入爐 空缺: 多名 工作性質: 長工 工作地點: 柴灣 工作時間: 星期一至六 (早上8:00 至 下午5:00) 每天工作時數: 8小時 休息日: 逢星期日 其他津貼或福利: a: 每年: 年假12日 b: 每年: 生日假1日 c: 超時工作津貼 d: 酌情性花紅 2年以上相關工作    Pay range unavailable  Salary information is not available at the moment.        Are you interested in salary information for this job?          Yes/    No  
236;You will need to be an excellent communicator with good inter-personal skills: able to work with colleagues located locally and worldwide, communicating by telephone, video, email and chat. You will need to be self-motivated, organized and adaptable.You will be university educated with a degree in an IT or mathematics related subject. We are looking for someone from a mathematics / data science / computer science background, with some programming experience and good knowledge of database design.While not hard and fast requirements, knowledge in the following areas will help your application:Familiarity with databases and database architectureDemonstrable experience with relational / non-relational databases and differencesKnowledge of quantitative and statistical data analysisProgramming experience with at least one scripting or object-oriented language (Java or Python preferable)Entry level proficiency with Unix systemsYou will have the ability and willingness to work cooperatively with other developers at all levels in a fast-paced development environment.This is a fantastic opportunity to break into the financial sector, without the high pressure of tier-one banking.Ultimately, we are looking for a keen and sharp mind who we can invest in and who will invest in us.          
237; more options             切肉員 (新鮮食品倉)            Wellcome                    Hong Kong, Hong Kong SAR          On-site            2 days ago           AssociateSee recent hiring trends for Wellcome. Try Premium for free     Apply         Save            Save 切肉員 (新鮮食品倉) at Wellcome                     切肉員 (新鮮食品倉)            WellcomeHong Kong, Hong Kong SAROn-site     Apply         Save            Save 切肉員 (新鮮食品倉) at Wellcome                  Show more options                    This job is sourced from a job board.      Learn more             Wellcome is the largest and longest established supermarket brand in Hong Kong with an extensive network of over 280 stores. Wellcome is committed to providing one-stop shopping convenience to customers through quality products at competitive prices and friendly service to serve the needs of different customers. We welcome applications from high calibre candidates to join our expanding team.工作內容: 負責在凍倉內處理肉類，操作機器切割肉類，協助其他主管分配的工作工作地點: 將軍澳工業邨新鮮食品中心 (需在12-13°C / 8°C / 0-4°C凍倉工作)工作時間: 上午7時至下午3時45分或下午10時至上午6時45分 ，每週工作6天，輪休工作要求: 學歷不拘，一年或以上切割肉類經驗，一般粵語，懂讀寫中文待遇: 新人獎金$6,000，提供免費穿梭巴士，年終雙糧，12天有薪年假、17天公眾假期、集團購物優惠、超時工作津貼、員工及家屬醫療優惠（中西醫、跌打及牙醫）、有薪婚假及免供款退休計劃薪酬： $14,900 - $20,000有意應徵者可致電招聘熱線22998150 或 WhatsApp 6821 5160 (https://wa.me/85268215160)          
238; salary as well as date of availability by sending email to [email redacted, apply via Company website]For more job opportunity, please visit our website: www.clts.comThe personal information is collected strictly for recruitment purpose only.          
239;" more options             Big Data & AI Engineer              Michael Page                        Hong Kong, Hong Kong SAR          On-site            1 month ago           Full-time · Entry level5,001-10,000 employees · Staffing and Recruiting11 school alumniSee recent hiring trends for Michael Page. Try Premium for freeActively recruiting     Apply         Save            Save Big Data & AI Engineer at Michael Page                    Big Data & AI Engineer            Michael PageHong Kong, Hong Kong SAROn-site     Apply         Save            Save Big Data & AI Engineer at Michael Page                  Show more options              Large commercial firmETL, data lake & model buildingAbout Our ClientOur client is a large commercial group with business across APAC region. To cope with their growth in Innovation & Transformation team, they are hiring a Big Data & AI Engineer, to perform hands on ETL process automation, build data lake & models, AI implementation etc.Job DescriptionAs Big Data & AI Engineer, you are required to:Build data lake, perform data cleansing and modelling on clouds (Azure, AliCloud)Perform ETL process automation. Accountable from data sources access, data collection to data lake storage and pre-modellingBuild data model, ensure data quality to allow data scientists build algorithms and modelsManage the existing and develop new applications in meeting business needsPerform project management activities including planning, time and resources management on all aspects regarding data warehousing, ETL, hardwares etc.Define workflow to ensure sustainable development and improvement on solution deployed, make sure data are available model performance and model value at all the time.The Successful ApplicantBachelor in Statistics, Computer Science, Information Systems or related disciplinesMinimum 5-8 years' experience in Big Data Engineering Hands on with data processing, cleansing, preparation Experience in ETL process automation, building data lake and modelsExperience in AI implementation is a plusSolid experience in frontend OR backend Big Data/AI solution development (Full stack is a plus)Experience with Hadoop, Spark, Hortonworks and SQL Hands on with any open source ""analytics"" tools: R, Python, Pyspark, Numpy, TensorFlow etc.Knowledgeable in NodeJS / ReactJS / React Native / Java is a plusExperience in Cloud Computing; Azure is a plusDemonstrate experience in applying Big Data in Linux environmentExperience with data quality management Good command in Chinese & EnglishWhat's On OfferOur client offer attractive compensation package with sustainable career path to the candidate.Contact: Eliza LaiQuote job ref: JN-122021-4547490  "
240;Develop reporting and insight tools using TableauWork closely with Business teams to drive requirements for new reporting and insights.Work closely with Data engineering teams to enable effective decision making by retrieving and aggregating data from multiple sources and compiling it into a digestible and actionable format.Be a thought teammate on data systems, data mining and analysis to scale our capabilities and develop insights.Develop a long-term business intelligence strategy/analytics/tools roadmap and self-service reporting capabilities, new input forecasting methodologies and drive the implementation of end-to-end.Enable effective decision making by retrieving and aggregating data from multiple sources and compiling it into a digestible and actionable format.Skills:Graduate degree in computer science, mathematics, finance, statistics, economics, or other quantitative field.Proven ability to deliver actionable insights, and apply strong judgement to prioritization.Great professional experience in analytics, business analysis or comparable consumer analytics position.Experience in rolling out Tableau as Self-service solution for large number of users.Ability to advise end-users in governance of Tableau as self-service analytics tool.Strong analytical skills and ability to develop, and implement analytical data models and dashboards and reports using Tableau to enable customers to analyze data and make business decisions/ investigation.Collaborate with end users and stakeholders to identify needs, goals, and business models.Strategic thinker with ability to understand business strategy, provide consultative business analysis, and leverage technical skills to create insightful, effective BI solution.Strong interpersonal and communication skills. Must be able to explain technical concepts and analysis implications clearly to a wide and senior audience, and be able to translate business objectives into actionable analysis.Preferred Skills:3 years of related experienceProficiency with Tableau, Microsoft Excel to include making charts, data manipulation, pivot tables, creating macros, and visual basic knowledge.Solid understanding of Database, Big Data and Data modeling concept.Excellent in writing complex SQL and complicated business data logic.Experience in building data products incrementally and integrating and managing datasets from multiple sources.Experience with statistical analysis, regression modeling and forecasting, time series analysis, data mining, financial analysis, and demand modelling.BenefitsWe offer an attractive compensation package working in a cutting-edge field of Fintech.Huge responsibilities from Day 1. Be the owner of your own learning curve. The possibilities are limitless and depend on youYou get to work in a very dynamic environment and be part of an international teamYou will get to have involvement in developing brand new products from scratch using latest technologies alongside with a passionate and talented team  
241; Recent graduate (within the past 12 months) or final year student from a bachelor’s degree or above in Electrical & Electronics/Mechanical/Building Services/Facilities Management or any equivalent Engineering discipline Data center engineering or operations experienceCompany - Amazon Data Services HongKongJob ID: A1879472          
242;"Excellent writing skills in English; fluent spoken EnglishIntermediate writing and conversational: Mandarin & Cantonese a plusConversational Japanese skills a plusSensitivity to different cultures and working styles; ability to navigate seamlessly both across countries within APAC, and with the wider global organizationConfidence to work directly with stakeholders at all levelsOutstanding accuracy and attention to detail; strong numeracyAbility to work under pressure, and with flexibility, to meet tight deadlinesMicrosoft Word, PowerPoint, Excel and Outlook skills (intermediate/advanced)Prior experience with Alteryx, VBA, SQL, Python a plusExperience managing large data sets a plusUniversity degreeJ.P. Morgan is a global leader in financial services, providing strategic advice and products to the world's most prominent corporations, governments, wealthy individuals and institutional investors. Our first-class business in a first-class way approach to serving clients drives everything we do. We strive to build trusted, long-term partnerships to help our clients achieve their business objectives.We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.          "
243; more options             食品包裝員/ 生產操作員 (新鮮食品倉)            Wellcome                    Hong Kong, Hong Kong SAR          On-site            1 day ago           AssociateSee recent hiring trends for Wellcome. Try Premium for free     Apply         Save            Save 食品包裝員/ 生產操作員 (新鮮食品倉) at Wellcome                     食品包裝員/ 生產操作員 (新鮮食品倉)            WellcomeHong Kong, Hong Kong SAROn-site     Apply         Save            Save 食品包裝員/ 生產操作員 (新鮮食品倉) at Wellcome                  Show more options                    This job is sourced from a job board.      Learn more             Wellcome is the largest and longest established supermarket brand in Hong Kong with an extensive network of over 280 stores. Wellcome is committed to providing one-stop shopping convenience to customers through quality products at competitive prices and friendly service to serve the needs of different customers. We welcome applications from high calibre candidates to join our expanding team.工作內容: 負責處理新鮮食品/肉食、操作機器、執貨、包裝及標籤新鮮食品及協助其他主管分配的工作工作地點: 將軍澳工業邨新鮮食品中心 (需在12-13°C / 8°C / 0-4°C凍倉工作)工作時間: 上午7時至下午3時45分或下午10時至上午6時45分 ，每週工作6天，輪休工作要求: 學歷不拘，一般粵語，懂讀寫中文待遇: 新人獎金$6,000，提供免費穿梭巴士，年終雙糧，12天有薪年假、17天公眾假期、集團購物優惠、超時工作津貼、員工及家屬醫療優惠（中西醫、跌打及牙醫）、有薪婚假及免供款退休計劃薪酬： $13,200 - $16,600有意應徵者可致電招聘熱線22998150 或 WhatsApp 6821 5160 (https://wa.me/85268215160)          
244;:Degree in IT or Engineering with 6 years relevant working experience with bank, software house, consulting firms or system integratorGood interpersonal skills and client facing project experience  
245;:Be good at technologies, including but not limited to web and software development and designWell knowledge and experience in Fintech (blockchain, NFT, cryptocurrencies). You can have another full-time job if you can manage your time well. And I would like to give you some shares of the company. Your salary is then based on our yearly revenue. It would be extremely exciting to explore and develop interesting and meaningful things together!  
246; work is never done alone. We know that it's our people, with their unique backgrounds, skills, experience levels and interests, who drive our ongoing success. Together we’re more than ourselves.Ready to be part of #teamUBS and make an impact?Disclaimer / Policy StatementsUBS is an Equal Opportunity Employer. We respect and seek to empower each individual and support the diverse cultures, perspectives, skills and experiences within our workforce.Employees working from UBS Singapore offices must comply with Workforce Vaccination Measures as implemented by the Singapore government with effect from 1 January 2022, and other applicable safe management measures as may be amended from time to time.        Loading job details 
247;This newly created role is part of a new initiative targeted at Digital Transformation projects within the company, responsible for ensuring the utilization of company propriety data & information to drive the adoption of data-driven decision making throughout all business entities as part of the Group Company.Candidates ProfileInfluence information strategy: The information architect will give strategic suggestions to maximize the value of information assets through their development, access, and usage by partnering with business unit leadership and rationalizing the information value chain.Maximize data and analytics value: Encourage value creation by leveraging the organization's data assets as well as the external data ecosystem. This involves assisting in data exploitation, visualizing data-enabled strategies, and enabling all types of business results through analytics, data and analytics governance, and enterprise information policy.Assess the advantages and hazards of information using tools like business capability models to generate an information-centric view that quickly visualizes what information is most important to the organization based on the stated business plan.Improve decision-making: Use tools like business information models to give the organization a future-state vision of the information landscape that isn't hampered by proprietary solutions or technologies' specific data implementation details. Assist with decision-makingEnable effective data and analytics governance: Specify who has permission to do what with what data and under what conditions. Assist data and analytics leaders, as well as business and IT executives, in establishing information governance processes and frameworks.Modeling of business information: Create and maintain all types of business information models, such as conceptual models, relational database designs, message models, and so on.Reduce risk: As more data becomes federated in the digital economy, assist in the establishment of data classifications and data zoning to allow information assets to be quickly identified and proactively managed.Enable enterprise information management (EIM): Make sure the architecture serves as a lens and a filter for identifying, prioritizing, and executing data and analytic activities that have a clear link to enterprise strategy and business outcomes.Protect corporate data and analytics assets: Assist in the study of data and analytics security requirements and solutions, and collaborate with the Corporate IT Security Manager to ensure that enterprise data and analytics assets are handled as protected assets.Enhance EIM performance: Assist efforts to improve business performance by utilizing enterprise information solutions and capabilities such as master data management (MDM), metadata management, analytics, content management, data integration, and related information management or information infrastructure components. Other Additional Skills:A bachelor's degree in computer science, information systems, or a related field is required for this position (or equivalent project-related experience).At least 7 years of information technology experience, with at least 2 years in information system design.Extensive experience in the design and implementation of information systems.Prior implementation expertise with data and analytics management programs is preferred.Data analyst experience of 3 to 5 years is highly desirable.Excellent written and spoken English, Chinese, and Mandarin  
248;" more options             Data Engineer - Microsoft Cloud Practice - Hong Kong              Deloitte                        Hong Kong, Hong Kong SAR          On-site            2 weeks ago                            11 applicants                Full-time · Entry level10,001+ employees · Management Consulting189 school alumniSee how you compare to 11 applicants. Try Premium for freeActively recruiting     Apply         Save            Save Data Engineer - Microsoft Cloud Practice - Hong Kong at Deloitte                     Data Engineer - Microsoft Cloud Practice - Hong Kong            DeloitteHong Kong, Hong Kong SAROn-site     Apply         Save            Save Data Engineer - Microsoft Cloud Practice - Hong Kong at Deloitte                  Show more options              Pursue a Career with Impact At Deloitte China, we are on a mission to nurture and empower our people to become deep subject matter experts. We offer the perfect platform to unleash your full potential and equip you to thrive on challenges, and partner with our clients to solve their most complex problems. A world of opportunities awaits. Start your adventure and journey with us.About The BusinessDeloitte Cloud is trusted by many of the world’s most admired organizations to deliver complex, enterprise-level transformation. We draw on Deloitte’s business insight across industries and adjacent domains (such as risk, compliance and cybersecurity) and integrate that with vast technical resources to help modernize operating models, ensure culture change, and mitigate business risk. With Deloitte, clients do not only discover Cloud potential, but also adopt, apply, and scale the technologies needed to go out and achieve it.We also bring strong technical expertise in the top market of Public Cloud providers for our clients. Microsoft is the #1 global Cloud vendor, and we are now building the fastest growing team and expertise in Azure technologies.Our Cloud Services include Journey to Cloud Strategy & Op Model Transformation, Cloud Migration, Big Data Platform, Secure Infrastructure and Intelligent Applications. We help our clients accelerate their digital transformation and competitive advantage by planning, executing and evolving on their enterprise ecosystems of public and hybrid clouds.Work you'll doServe as a trusted technical advisor for clients to support implementation of big data platforms on AzureAssessing client’s current state technical architecture and advising how architecture (DMP, MDM, CDP) will fit to enhance the maturity level of clients for their Data AnalyticsCreate and maintain current and target-state data management solution (Database, Data Mart, Data Warehouse, Data Lake) to client, and ensure technology solutions are in alignment with data architecture principlesManage end-to-end data architecture, from selecting the platform, designing the technical architecture, and developing the application to finally testing and implementing the proposed solutionAdvise on performance optimizations and best practices for scalable data models, pipelines and queriesFacilitate the development of “request for proposals” responses and contract developmentA fit for the role? Let's talk about you.We are looking for someone with:Bachelor degree or above, preferably in Computer Science, Computer Engineering, or Statistics/Sciences;Have 4+ years of experience.Background in Enterprise Data warehouse (EDW), Microsoft SQL Server or AnalyticsExperience on Data Platform on Microsoft Azure, Data Lake, Azure Data Factory (ADF), PowerBI. Or similar Cloud conceptsExperience in working in Agile projectsKnowledgable in CI/CD or DevOps practicesPreferred – achieved any Microsoft / Azure certifications Be a continuous-learner, and have a passion for the potential for technology to transform the way people live and work because Cloud and related technologies are always evolving rapidlyGood consultation and communication skills, self-initiation, good team playerWhy Deloitte China? Deloitte China delivers a comprehensive range of audit & assurance, consulting, financial advisory, risk advisory and tax services to local, multinational and growth enterprise clients in China.We are the world's largest professional services firm that changes the world, we lead with purpose and shared values. We are the market leader with digital and innovative solutions, we create values for client through our multi-disciplinary services. We are recognized as Top Employer in China by the Top Employers Institute* for 14th consecutive years, and made the top 3 for the first time this year! We are certified as one of the ‘Best Workplaces™ in Greater China by Great Place to Work® in 2019  "
249; salary to talents@alikeaudience.com. All information collected will be used for recruitment only and treated in strict confidence. We will retain the personal data of unsuccessful applicants for future recruitment purposes for a maximum period of 1 years.  
250;This newly created role is part of a new initiative targeted at Digital Transformation projects within the company, responsible for ensuring the utilization of company propriety data & information to drive the adoption of data-driven decision making throughout all business entities as part of the Group Company.Candidates ProfileInfluence information strategy: The information architect will give strategic suggestions to maximize the value of information assets through their development, access, and usage by partnering with business unit leadership and rationalizing the information value chain.Maximize data and analytics value: Encourage value creation by leveraging the organization's data assets as well as the external data ecosystem. This involves assisting in data exploitation, visualizing data-enabled strategies, and enabling all types of business results through analytics, data and analytics governance, and enterprise information policy.Assess the advantages and hazards of information using tools like business capability models to generate an information-centric view that quickly visualizes what information is most important to the organization based on the stated business plan.Improve decision-making: Use tools like business information models to give the organization a future-state vision of the information landscape that isn't hampered by proprietary solutions or technologies' specific data implementation details. Assist with decision-makingEnable effective data and analytics governance: Specify who has permission to do what with what data and under what conditions. Assist data and analytics leaders, as well as business and IT executives, in establishing information governance processes and frameworks.Modeling of business information: Create and maintain all types of business information models, such as conceptual models, relational database designs, message models, and so on.Reduce risk: As more data becomes federated in the digital economy, assist in the establishment of data classifications and data zoning to allow information assets to be quickly identified and proactively managed.Enable enterprise information management (EIM): Make sure the architecture serves as a lens and a filter for identifying, prioritizing, and executing data and analytic activities that have a clear link to enterprise strategy and business outcomes.Protect corporate data and analytics assets: Assist in the study of data and analytics security requirements and solutions, and collaborate with the Corporate IT Security Manager to ensure that enterprise data and analytics assets are handled as protected assets.Enhance EIM performance: Assist efforts to improve business performance by utilizing enterprise information solutions and capabilities such as master data management (MDM), metadata management, analytics, content management, data integration, and related information management or information infrastructure components. Other Additional Skills:A bachelor's degree in computer science, information systems, or a related field is required for this position (or equivalent project-related experience).At least 7 years of information technology experience, with at least 2 years in information system design.Extensive experience in the design and implementation of information systems.Prior implementation expertise with data and analytics management programs is preferred.Data analyst experience of 3 to 5 years is highly desirable.Excellent written and spoken English, Chinese, and Mandarin  
251; more options             社會工作員 (編號：SW(DAC2)/19/1/22/C)            Hong Chi Association 匡智會                    Hong Kong, Hong Kong SAR          On-site            3 weeks ago           Entry levelSee recent hiring trends for Hong Chi Association 匡智會. Try Premium for free     Apply         Save            Save 社會工作員 (編號：SW(DAC2)/19/1/22/C) at Hong Chi Association 匡智會                     社會工作員 (編號：SW(DAC2)/19/1/22/C)            Hong Chi Association 匡智會Hong Kong, Hong Kong SAROn-site     Apply         Save            Save 社會工作員 (編號：SW(DAC2)/19/1/22/C) at Hong Chi Association 匡智會                  Show more options                    This job is sourced from a job board.      Learn more 匡智會是專為智障人士服務的非牟利機構，為不同年齡及智障程度人士及其家庭提供全面服務。現誠聘以下職位:職責範圍：負責日間中心及宿舍個案管理工作設計及統籌智障人士訓練和活動、家長工作及員工督導協助管理單位運作申請資格：持認可社會工作文憑或以上學歷，必須為註冊社會工作者中學會考中文及英文 (課程乙) 達第二等級 / E級或以上 (或同等等級)能閱讀書寫中英文及操流利廣東話及英語熟悉中文微軟文書處理，電腦應用及中文打字具智障人士服務 / 個案、復康服務工作經驗優先需輪班工作工作地點：大埔備註： 以上職位員工由入職日起至2022年9月30日期間可獲發放每月港幣1,500.00元之額外酌情補貼 (須符合本會其他條款細則)應徵者請於信封面註明職位編號及’保密’並填妥職位申請表格 (可於本會網頁 https://www.hongchi.org.hk/uploads/form/App2B_Job_Application_Form(201906).pdf下載) 寄：新界大埔南坑頌雅路松嶺村匡智賽馬會松嶺日間活動及住宿大樓4樓蔡先生收或電郵至 [email redacted, apply via Company website]本會將要求可能獲聘任人士自願進行「性罪行定罪紀錄查核」** (所收集的個人資料只作招聘用途)  
252; Expertise in Any ETL tool i.e. (SSIS, Informatica, Data Stage) Expertise to Implementing Data warehousing Solutions experience as Data Engineer in Azure Big Data Environment Programming experience in Scala or Python, SQL Hands-on experience in Azure stack (Azure Data Lake, Azure Data Factory, Azure Databricks) -- Mandatory Good understanding of other Azure services like Azure Data Lake Analytics & U-SQL, Azure SQL DW Good understanding of Azure Databricks platform and can build data analytics solutions to support the required performance & scale Demonstrated analytical and problem-solving skills, particularly those that apply to a big data environment Good Understanding of Modern Data Warehouse/Lambda Architecture, Data warehousing concepts  
253;Bachelor's degree in Statistics, Computer Science, Actuarial Science or any related degree1 to 3 years of experience in insurance or re-insurance operations OR data management/operations experienceInsurance operations candidates with knowledge in Excel (SQL, VBA, Python is a plus)Data candidates should have knowledge in SQL, Excel, VBA and/or Python (self taught is considered)Fresh graduates with relevant internship experience are welcome to applyCandidate should be logical, have strong analytic skills and be willing to learnExcellent communication skills in both Cantonese and EnglishWhat's On Offer16 days annual leaveGuaranteed bonusMedical insuranceDental insuranceVery stable and friendly teamTraining and internal growth opportunitiesMNC and western working environmentContact: Jacqueline LungQuote job ref: 4203622Brand: PP  
254;" Bachelor’s degree in IT, Computer Science, Math, or related fields  At least 2 years of solid experience across systems integration, business intelligence, data engineering, data analysis and data warehouse management  Work experience of modern programming languages (e.g. Python, R, Matlab, Scala, SQL, Stored Procedures, etc.), databases (e.g. PostgreSQL, MongoDB, etc.)  Solid experience in data ETL processing or streaming is a must  Experience in AWS Redshift, QuickSight and Apache Airflow is essential  Experience in Cloud-based data platforms is preferred (AWS, Azure and GCP)  Solid Experience in visualization tools and reporting services (e.g. Data Studio, Qlik, PowerBI, Apache SuperSet, etc.)  Knowledge in software development lifecycle and CI/CD workflows with experience working in Agile/Scrum team is preferred  Proven track record to apply analytical and creative thought  Strong analytical and problem-solving capabilities and proven teamwork skills in a fast pace environment  Fluent in English and Chinese, good written and verbal communication skills  Candidate with more experience will be considered as Senior Data Engineer. WeLab Perks Competitive salary  Learning and development stipend, because we value lifelong learning and believe the best way to invest in our employees is to encourage them to continue to learn  Work hard and laugh lots (chicken wings and french toast, etc.) with a high-performing, fun and diverse team  Weekly afternoon teas and fully stocked fridge  Coffee stipend  Conveniently located office surrounded by diverse and delicious lunch options  Lively office with gaming consoles and a ping pong table  Fun extracurricular activities with your colleagues like hiking, yoga, badminton, wine tasting, dragon boat racing, rock climbing, etc.  Employee referral bonuses Awards & Recognition Financial Times (FT) 2020 Asia-Pacific High-Growth Companies – #2 ranked company  2020 CNBC Disruptor 50 List – #11 , only company included from Hong Kong and just one of five from Asia We offer competitive salary package to the successful candidate. If you are interested in joining this exciting team, please apply with resume via the ""Apply"" button below.All information provided by applicants will be used for recruitment purposes only. Information of unsuccessful applicants will be destroyed within 24 months of receipt.          "
255; more options             Analytics & Digital Transformation Manager              SgT Group                        Hong Kong, Hong Kong SAR          On-site            4 hours ago                            3 applicants                Full-time · Mid-Senior level501-1,000 employees · Textile ManufacturingSee recent hiring trends for SgT Group. Try Premium for freeYou have a preferred skill badge     Easy Apply         Save            Save Analytics & Digital Transformation Manager at SgT Group                     Analytics & Digital Transformation Manager            SgT GroupHong Kong, Hong Kong SAROn-site     Easy Apply         Save            Save Analytics & Digital Transformation Manager at SgT Group                  Show more options                   Posted by                  Shirley WONG             Senior Human Resources Manager at WORMS SAFETY                   Send InMailHIGHLIGHTMultinational Group business with presence in Europe, Asia, USA regionsAmbitious career with rapid growing business with dynamic & energetic teamDigital Transformation, Process Improvement, Operational ExcellenceYOUR ROLEReporting to the Managing Director, Consumers Products Safety division (CPS division). This position communicates on regular basis with Department Heads / Leaders/ Stakeholders on indicators and analytics and communicate insights. Evaluate processes for cost efficiency and related valuable metrics in conjunction. Prepare judicious recommendations for procedures, process adjustments and performance enhancements based on indicators.YOUR RESPONSIBLIESSupport the CPS division across brands and key departments in:Identify the entire range of data available and additional data available that could be collectedSet the right indicators and analytics for their next steps of developmentUse data to inform calculated strategic business decisionsSupport the CPS brands to:Set proper data analysis conveying findings clearly to external stakeholders – customers and vendorsDevelop better and more performant analysis and modelsIdentify how data could be restituted in a manner that bring further added value to customers and vendors and can lead to the next generation of solutions / supportIdentify drivers of supply chain dynamics for our customers by segment and on manufacturing value chainParticipate actively to Digital Transformation, Innovation and Technology projects:Take a lead on data management and analytics generated from our systemsSupport IT teams in understanding business needs (internal, clients, vendors) and create necessary instances to collect, capture and manage relevant dataSupport IT teams in setting up relevant indicators, dashboard, traceability life lines and other relevant features supporting our customers in the decision-making processSupport all clients projects involving risk analysis matrix, factory certified auditors program with complex decision matrix taking into consideration factories risks and product risksWork with CIO on different Machine Learning and Deep Learning project, on predictive analytics methodsWork with CIO on algo trading, time series analysis, web crawling, algo surveillance solutionsLeverage on IoT data to improve performances and data collection YOUR EXPERIENCE & SKILLSMinimum 10 years of data analyst experience in Supply Chain / manufacturing fieldKnowledge in Quality Management Control is ideal but not essentialStrong analytical and reporting skillsDynamic, energetic, tenacious, proactive, independent, result-drivenExcellent communication, interpersonal and presentation skillsFluency in English and Cantonese, Mandarin is a plusComputer skills (MS Words, Excel, Powerpoint. Email)  
